question,answer,url,source_type
What is OnlineSBI?,"OnlineSBI is the Internet banking service provided by State Bank of India, India's largest and premier commercial bank",https://retail.onlinesbi.sbi/npersonal/faq.html,text-pattern
What is special about Internet banking?,"Internet banking is the most convenient way to bank- anytime, any place, at your convenience.",https://retail.onlinesbi.sbi/npersonal/faq.html,text-pattern
I do not have a PC?,You can access OnlineSBI from any computer that has connectivity to the Internet. But make sure your computer is Malware free. For more details please Click here.,https://retail.onlinesbi.sbi/npersonal/faq.html,text-pattern
How do I access OnlineSBI?,"You need to have an account at a branch. You also need to register for the Internet banking service with the branch. Branch will provide you a Pre Printed Kit (PPK) containing username and password for first login. If you are not in a position to collect PPK in person, the bank will arrange to send a username through SMS and a mailer containing password to your registered address. Logon to www.onlinesbi.sbi using this username and password. At the first login, you will need to go through a simple initialization process. Our Net banking assistant will guide you step by step through this process on the site.",https://retail.onlinesbi.sbi/npersonal/faq.html,text-pattern
I do not have an account with SBI?,You are welcome to open it now. It is very easy to open an account with SBI. You can apply online for opening of a savings bank account. A link 'Online SB Account Application' is available on the home page of www.onlinesbi.sbi or just walk in to any of our branches nearby. Our staff would be pleased to assist you.,https://retail.onlinesbi.sbi/npersonal/faq.html,text-pattern
I am an Indian Resident. How do I open an account?,"Follow the below simple steps: You can apply online for opening of a savings bank account. A link 'Online SB Account Application' is available on the home page of www.onlinesbi.sbi OR You can collect the account opening form from a branch or download it from www.onlinesbi.sbi under the link Registration Forms. Please visit an SBI Branch with completed form, two passport size photographs and KYC documents (original and photocopies). Make an initial deposit and your account is opened.",https://retail.onlinesbi.sbi/npersonal/faq.html,text-pattern
I am a Non-resident Indian. How do I open an account?,"If you are on a visit to India, please follow the procedure described for a resident Indian. Please carry your passport also.If you want to open the account when you are outside India: Collect and fill the NRI Application Form. Get your application attested by an SBI official or at the Indian consulate. You can have the application form notarized locally. Submit the application form with a copy of your passport and initial remittance to a branch of your convenience offering INB service in India.. Alternatively, you could also hand over these documents to an SBI branch nearby, if one is available. You need to specify instructions to open an account in India at the branch of your choice.",https://retail.onlinesbi.sbi/npersonal/faq.html,text-pattern
Can my school going daughter open such account?,"Of course. Children of any age can have joint accounts with their parent or guardian.Children above 10 years of age can have their own bank account, subject to certain financial limits.",https://retail.onlinesbi.sbi/npersonal/faq.html,text-pattern
I want to register for OnlineSBI now. What do I do?,"Download the Registration Forms in the OnlineSBI site, complete the form and submit it at your branch. Your registration formalities are complete after your details are verified and authenticated by the branch",https://retail.onlinesbi.sbi/npersonal/faq.html,text-pattern
Why are the user name and password so cryptic?,"The user name and password are system generated. OnlineSBI has no control over this process. During your first visit to OnlineSBI, you must mandatorily change your user name and password.",https://retail.onlinesbi.sbi/npersonal/faq.html,text-pattern
Can I change the user name and password that were sent to me by courier?,"Yes. It is mandatory for you to change the system generated user name and password when you first logon to OnlineSBI. Later at any point of time, you can change your password but not the user name.",https://retail.onlinesbi.sbi/npersonal/faq.html,text-pattern
Can I change my password?,Passwords can be changed any time and any number of times. In fact we recommend that your password should be changed periodically to secure access to your account information.,https://retail.onlinesbi.sbi/npersonal/faq.html,text-pattern
What are the good practices for creating a password?,"You are requested to select a word that is not available in an English Dictionary. Do not assign your name, your family or vehicle number as your password as it can be easily guessed. Change your password frequently. Please commit your password to memory. Do not write it down or paste it somewhere. Do not divulge your password to anybody even if they claim to be from SBI.",https://retail.onlinesbi.sbi/npersonal/faq.html,text-pattern
What happens if I forget my logon password?,Click on the 'Forgot password' link in the site and provide the requested information. A new password will be sent to your registered address within 10 working days.,https://retail.onlinesbi.sbi/npersonal/faq.html,text-pattern
What are the list of documents to be submitted while making Mobile Number Change at the Branch?,"As per the latest master direction, list of OVDs is Passport, Driving License, Voter ID Card, Proof of Possession of Aadhaar, MNREGA Card or Letter issued by National Population Register for Mobile Number Change at the Branch.",https://retail.onlinesbi.sbi/npersonal/faq.html,text-pattern
What happens if I forget my Internet banking username?,"If you forget the Internet banking user name, contact your branch and re-register yourself.",https://retail.onlinesbi.sbi/npersonal/faq.html,text-pattern
I want to know more about State Bank of India?,We are glad about the interest you have evinced in SBI. Please log into https://bank.sbi for more details.,https://retail.onlinesbi.sbi/npersonal/faq.html,text-pattern
I want to know more about OnlineSBI?,We would be glad to answer any specific queries. Please call our toll free number 1800-112211,https://retail.onlinesbi.sbi/npersonal/faq.html,text-pattern
